trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00800000,C741,309F,2BBF,2E46,266D,2A13,324D,2B09,3208,30F1,2B10,2EFF,3523,2DCE,3192,327D,2A62,31FD,3133,2B14,2A5F,2CCF,2822,5227,2F62,0000,0000,0000,0000,0000,0000,0000,0000
00800000,9EE5,30BA,2CD8,2EEF,27FF,2AD0,3257,2B2D,3176,30EE,28C0,2FE9,339E,2F48,30A6,3234,29FE,324C,30B3,2AC0,2969,2C85,27B1,43BE,314B,0000,0000,0000,0000,0000,0000,0000,0000
00800000,BFA3,31F0,2E9A,3070,2762,2CBB,3386,2CF8,33A7,31E2,2AA0,3125,354A,2FA0,323F,333C,2B91,32EF,3135,29EB,2ACD,2E65,29A3,5096,3159,0000,0000,0000,0000,0000,0000,0000,0000
00800000,E1E0,3118,2D9C,2EC4,2713,2BE2,32BD,2A21,31C5,31A1,29AB,2F6A,3525,2E5C,31F2,3199,29E6,316D,3190,29BB,2AD0,2CE1,2752,4930,2F45,0000,0000,0000,0000,0000,0000,0000,0000
00800000,3A1C,301A,2B82,2E90,2816,2BFC,329C,2A5F,321F,30D3,2985,2E4F,3458,2DF8,3066,3279,2A61,30A9,3093,2B60,29E0,2CFB,28B3,59EB,2F99,0000,0000,0000,0000,0000,0000,0000,0000
00800000,CE89,302C,2DCA,2E6C,2865,2B95,32C6,2AFD,3178,2FAD,297B,2F12,353D,2DD6,3027,31F4,2B47,3189,30B0,2AF6,29E2,2BDD,2891,41CF,3050,0000,0000,0000,0000,0000,0000,0000,0000
00800000,5BB0,3084,2C46,2F27,272B,2BAF,32BA,2B04,31C3,316B,299C,2FE5,34CB,2ECA,31BF,3253,29C4,31A9,3157,2B97,2A24,2E5C,2947,4310,3013,0000,0000,0000,0000,0000,0000,0000,0000
00800000,54F2,2EC3,2B44,2DB8,2691,2B19,3008,299A,30C8,2E85,2824,2CEA,33D6,2CC4,2F8D,311C,2858,313A,2FC5,2B6E,2A2A,2DDB,28D3,486C,2F02,0000,0000,0000,0000,0000,0000,0000,0000
00800000,1E3F,2F55,2B8E,2E8C,2714,2A8B,309C,2A6F,31B6,2E1A,29BC,2E39,329B,2CC6,3129,2FCE,2A17,31C7,319A,29E2,2ACF,2CB8,26F6,8042,301C,0000,0000,0000,0000,0000,0000,0000,0000
00800000,6EE9,3101,2E4B,3096,280C,2C5C,3417,2B9B,32B3,31A7,2AFB,3195,35C5,2F21,3207,331F,2C1D,3073,31D9,2AF5,2A09,2DDD,28FE,4D6B,2FC8,0000,0000,0000,0000,0000,0000,0000,0000
00800000,F8F9,3018,2C18,2FAB,27AE,2C44,320E,2A66,32AA,3139,2A20,2F52,34EB,2E4A,312F,31CA,2925,3014,3156,291A,297F,2D07,27BC,6DE1,2DBA,0000,0000,0000,0000,0000,0000,0000,0000
00800000,BC02,2FF9,2E34,2EDA,2857,2AE7,31DD,2BD6,30A8,3039,2AC1,3041,34EA,2E72,31D7,3238,293E,3207,306F,2AE6,29D7,2CD4,27C3,40E1,2FD1,0000,0000,0000,0000,0000,0000,0000,0000
00800000,3A4D,30EC,2CC8,2E9A,2785,2BAE,32C9,2A6E,3287,2FF9,29C2,2F02,352B,2D9E,3102,31AE,29A3,3059,3115,2891,2A41,2BB4,27F7,6468,2F17,0000,0000,0000,0000,0000,0000,0000,0000
00800000,85A2,2F86,2BF0,2D4A,2751,2B78,3132,294A,30D3,2F1C,28A8,2CF2,3484,2D9B,2F0F,30AF,26E8,2FEF,30D0,2989,29AA,2C80,27D3,3F31,2E29,0000,0000,0000,0000,0000,0000,0000,0000
00800000,72F9,305C,2CD1,2EF5,2738,2B55,3229,28ED,316F,2EB3,289D,2DFF,3341,2E30,3100,313F,28B6,3118,304E,2986,29D2,2CFC,275F,3DF8,2F76,0000,0000,0000,0000,0000,0000,0000,0000
00800000,6659,2EC3,2C34,2E88,261D,2C25,321E,295A,32C9,2F09,2819,2F3E,33DC,2D0C,304F,3126,29BC,30C9,2FAD,2A7E,2974,2C50,2761,4035,2FDB,0000,0000,0000,0000,0000,0000,0000,0000
